id,precio
bondiola,9000
pechito-cerdo,7500
costilla-cerdo,8400
osobuco-cerdo,4000
patitas-de-cerdo,500
carre,7000
matambre-de-cerdo,9500
pulpa-de-cerdo,7500
cuerito,5500
hueso-de-cerdo,3800
jamon-de-cerdo,4800
paleta-de-cerdo,4200
grasa-de-cerdo,3000
tocino,4000
