id,precio
bife-de-chorizo,16000
ojo-de-bife,15000
vacio,19000
entrana,22000
cuadrada,17000
peceto,20000
cuadril,16000
colita-de-cuadril,20000
tortuguita,16000
palomita,16000
roast-beef,15000
paleta,16000
lomo,21000
tira-de-asado,17000
tapa-de-nalga,17000
asado,16000
falda,15000
matambre,18000
osobuco,13000
espinazo,10000
cartilago,3000
chiquizuela,10000
hueso,2000
grasa,800
grasa-derretida,2000
picada,14000
