id,precio
lena-tipo-1,4500
lena-tipo-2,4000
cajon-de-huevos-1,52000
cajon-de-huevos-2,47000
docena-de-huevos-1,2000
docena-de-huevos-2,1700
media-docena-huevos-1,1300
media-docena-huevos-2,1000
carbon-grueso,6200
carbon-mediano,5500
espinillo,6000
quebracho,6000
iniciadores,3500
miel-namuncura,8000
